May Clark,female
William Craven,male
Florence Lawrence,female
Bertha Regustus,female
Edward Boulden,male
Arthur V. Johnson,male
Linda Arvidson,female
D. W. Griffith,unknown
Harry Solter,male
Linda Arvidson,female
Charles Inslee,male
Tom Ricketts,male
Florence Auer,female
John G. Adolfi,male
Marion Leonard,female
Arthur V. Johnson,male
Marion Leonard,female
Mary Pickford,mostly_female
Mack Sennett,male
Marc McDermott,male
Charles Stanton Ogle,male
Augustus Phillips,male
Charles Stanton Ogle,male
Mary Fuller,mostly_female
Henry B. Walthall,male
Sidney Olcott,mostly_male
Gene Gauntier,mostly_male
Thomas O'Connor,male
Anna Rosemond,female
George Barnes,male
Frank H. Crane,male
Mary Pickford,mostly_female
Henry B. Walthall,male
Clara T. Bracy,female
Mary Pickford,mostly_female
Mack Sennett,male
Bebe Daniels,male
William Garwood,male
Marguerite Snow,female
Charles Ogle,male
Natalie Jerome,female
Edgar G. Wynn,male
William Garwood,male
Marie Eline,female
Florence La Badie,female
Mignon Anderson,female
William Russell,male
William Garwood,male
Mary Pickford,mostly_female
King Baggot,male
Francis Ford,male
Ethel Grandin,female
James Cruze,male
Martin Fuller,male
Mrs. William Bechtel,unknown
Walter Edwin,male
Bigelow Cooper,unknown
Elmer Booth,male
Lillian Gish,female
Mary Pickford,mostly_female
Lionel Barrymore,male
Lillian Gish,female
William Garwood,male
Florence La Badie,female
William Garwood,male
Marguerite Snow,female
Lillian Gish,female
Dorothy Gish,female
Mack Sennett,male
Mabel Normand,female
Ford Sterling,unknown
Barney Oldfield,male
Jean Acker,male
Ford Sterling,unknown
Mabel Normand,female
King Baggot,male
William Garwood,male
Marie Eline,female
Earle Foxe,male
Irene Boyle,female
Stuart Holmes,male
Louise Glaum,female
J. Warren Kerrigan,unknown
Pauline Bush,female
Mae Marsh,female
Claire McDowell,female
Henry B. Walthall,male
Blanche Sweet,female
Donald Crisp,male
Lilian Gish,female
Charlie Chaplin,mostly_male
Ford Sterling,unknown
Chester Conklin,male
Edward Abeles,male
Sydney Deane,mostly_male
Joseph Singleton,male
Charlie Chaplin,mostly_male
Mack Swain,male
Phyllis Allen,female
Robert Edeson,male
Theodore Roberts,male
Edith Storey,female
